"Image Name","PID","Services"
"System Idle Process","0","N/A"
"System","4","N/A"
"Secure System","72","N/A"
"Registry","132","N/A"
"smss.exe","696","N/A"
"csrss.exe","796","N/A"
"wininit.exe","896","N/A"
"services.exe","968","N/A"
"LsaIso.exe","988","N/A"
"lsass.exe","996","KeyIso,SamSs,VaultSvc"
"svchost.exe","772","PlugPlay"
"svchost.exe","716","BrokerInfrastructure,DcomLaunch,Power,SystemEventsBroker"
"fontdrvhost.exe","1040","N/A"
"WUDFHost.exe","1076","N/A"
"WUDFHost.exe","1148","N/A"
"svchost.exe","1212","RpcEptMapper,RpcSs"
"svchost.exe","1304","LSM"
"svchost.exe","1524","TermService"
"svchost.exe","1544","BTAGService"
"svchost.exe","1568","BthAvctpSvc"
"svchost.exe","1576","HvHost"
"svchost.exe","1604","bthserv"
"svchost.exe","1740","NcbService"
"svchost.exe","1748","TimeBrokerSvc"
"svchost.exe","1860","EventLog"
"svchost.exe","1964","DisplayEnhancementService"
"svchost.exe","1996","hidserv"
"svchost.exe","2104","nsi"
"svchost.exe","2132","TabletInputService"
"svchost.exe","2184","ProfSvc"
"svchost.exe","2220","Dhcp"
"svchost.exe","2348","UmRdpService"
"svchost.exe","2412","UserManager"
"svchost.exe","2480","Schedule"
"svchost.exe","2500","Winmgmt"
"svchost.exe","2592","NlaSvc"
"svchost.exe","2736","camsvc"
"vmms.exe","2744","vmms"
"svchost.exe","2852","StateRepository"
"svchost.exe","2912","DeviceAssociationService"
"svchost.exe","2940","netprofm"
"svchost.exe","2976","CertPropSvc"
"NVDisplay.Container.exe","2280","NVDisplay.ContainerLocalSystem"
"svchost.exe","2812","CoreMessagingRegistrar"
"svchost.exe","3036","LanmanWorkstation"
"wscript.exe","3164","N/A"
"svchost.exe","3176","EventSystem"
"svchost.exe","3212","SessionEnv"
"svchost.exe","3220","SysMain"
"svchost.exe","3232","Themes"
"Memory Compression","3332","N/A"
"svchost.exe","3388","SENS"
"svchost.exe","3400","WinHttpAutoProxySvc"
"igfxCUIService.exe","3472","igfxCUIService2.0.0.0"
"svchost.exe","3524","DispBrokerDesktopSvc"
"svchost.exe","3564","hns"
"svchost.exe","3660","AudioEndpointBuilder"
"svchost.exe","3676","FontCache"
"svchost.exe","3728","Dnscache"
"svchost.exe","3784","nvagent"
"dasHost.exe","3956","N/A"
"svchost.exe","3996","BFE,mpssvc"
"svchost.exe","3464","SharedAccess"
"svchost.exe","4080","Audiosrv"
"RtkAudioService64.exe","4168","RtkAudioService"
"svchost.exe","4256","SSDPSRV"
"svchost.exe","4544","Wcmsvc"
"svchost.exe","4556","DusmSvc"
"vpnagent.exe","4568","vpnagent"
"svchost.exe","4728","WlanSvc"
"svchost.exe","4768","ShellHWDetection"
"spoolsv.exe","4828","Spooler"
"svchost.exe","4960","LanmanServer"
"AdminService.exe","4992","AtherosSvc"
"IntelCpHDCPSvc.exe","5012","cplspcon"
"com.docker.service","5032","com.docker.service"
"OfficeClickToRun.exe","5040","ClickToRunSvc"
"svchost.exe","5048","CryptSvc"
"DUWrapperService.exe","5064","DellDockUpdate"
"svchost.exe","5096","DiagTrack"
"svchost.exe","2580","DPS"
"esif_uf.exe","1700","esifsvc"
"svchost.exe","5136","iphlpsvc"
"IpOverUsbSvc.exe","5212","IpOverUsbSvc"
"nvcontainer.exe","5332","NvContainerLocalSystem"
"QcomWlanSrvx64.exe","5340","QcomWlanSrv"
"svchost.exe","5380","SstpSvc"
"RstMwService.exe","5392","RstMwService"
"sqlwriter.exe","5416","SQLWriter"
"svchost.exe","5540","TrkWks"
"WavesSysSvc64.exe","5556","WavesSysSvc"
"svchost.exe","5572","WpnService"
"svchost.exe","5672","TapiSrv"
"KillerNetworkService.exe","5712","Killer Network Service"
"IntelCpHeciSvc.exe","5792","cphs"
"svchost.exe","5996","WdiServiceHost"
"svchost.exe","6120","RasMan"
"svchost.exe","6680","RmSvc"
"WmiPrvSE.exe","6852","N/A"
"svchost.exe","6928","NgcCtnrSvc"
"vmcompute.exe","4620","vmcompute"
"svchost.exe","5200","PolicyAgent"
"svchost.exe","7860","Appinfo"
"svchost.exe","8112","PcaSvc"
"svchost.exe","8728","fdPHost"
"svchost.exe","8804","FDResPub"
"dllhost.exe","8032","N/A"
"PresentationFontCache.exe","3700","FontCache3.0.0.0"
"svchost.exe","8424","TokenBroker"
"svchost.exe","4184","CDPSvc"
"svchost.exe","4632","InstallService"
"GoogleCrashHandler.exe","9292","N/A"
"GoogleCrashHandler64.exe","9300","N/A"
"SearchIndexer.exe","10196","WSearch"
"svchost.exe","10576","LicenseManager"
"SecurityHealthService.exe","12252","SecurityHealthService"
"svchost.exe","10172","wscsvc"
"DDVRulesProcessor.exe","12900","DDVRulesProcessor"
"DCCService.exe","9416","Dell Customer Connect"
"Dell.D3.WinSvc.exe","14256","Dell Digital Delivery Services"
"DSAPI.exe","12440","Dell Hardware Support"
"DellSupportAssistRemedationService.exe","13060","Dell SupportAssist Remediation"
"ServiceShell.exe","3736","DellClientManagementService"
"svchost.exe","14912","WbioSrvc"
"svchost.exe","15076","UsoSvc"
"msdtc.exe","13364","MSDTC"
"svchost.exe","11296","StorSvc"
"IAStorDataMgrSvc.exe","14608","IAStorDataMgrSvc"
"jhi_service.exe","1888","jhi_service"
"LMS.exe","15108","LMS"
"PRSvc.exe","1164","Product Registration"
"SgrmBroker.exe","7556","SgrmBroker"
"SupportAssistAgent.exe","14020","SupportAssistAgent"
"DDVDataCollector.exe","13824","DDVDataCollector"
"DDVCollectorSvcApi.exe","14236","DDVCollectorSvcApi"
"svchost.exe","10800","seclogon"
"svchost.exe","16696","lfsvc"
"isa.exe","15500","Intel(R) Security Assist"
"svchost.exe","7944","Eaphost"
"svchost.exe","7592","WebClient"
"svchost.exe","14928","DsSvc"
"MsMpEng.exe","19472","WinDefend"
"NisSrv.exe","6044","WdNisSvc"
"WmiPrvSE.exe","16480","N/A"
"svchost.exe","18592","DoSvc"
"WTabletServicePro.exe","8452","WTabletServicePro"
"svchost.exe","2208","PhoneSvc"
"svchost.exe","3752","wuauserv"
"MoUsoCoreWorker.exe","3552","N/A"
"svchost.exe","19980","NcdAutoSetup"
"WUDFHost.exe","9872","N/A"
"svchost.exe","2160","BITS"
"svchost.exe","20356","WdiSystemHost"
"csrss.exe","25052","N/A"
"winlogon.exe","26420","N/A"
"fontdrvhost.exe","17360","N/A"
"dwm.exe","15264","N/A"
"svchost.exe","21416","AppXSvc"
"NVDisplay.Container.exe","21276","N/A"
"svchost.exe","10928","lmhosts"
"svchost.exe","25940","NgcSvc"
"dptf_helper.exe","17668","N/A"
"RAVBg64.exe","10404","N/A"
"RAVBg64.exe","1924","N/A"
"nvcontainer.exe","19800","N/A"
"sihost.exe","21212","N/A"
"svchost.exe","20220","CDPUserSvc_5891c689"
"svchost.exe","7040","BluetoothUserService_5891c689"
"igfxEM.exe","21712","N/A"
"svchost.exe","21184","WpnUserService_5891c689"
"GoogleUpdate.exe","22284","N/A"
"taskhostw.exe","10960","N/A"
"explorer.exe","3808","N/A"
"svchost.exe","25232","cbdhsvc_5891c689"
"NVIDIA Web Helper.exe","14512","N/A"
"conhost.exe","9768","N/A"
"StartMenuExperienceHost.exe","13316","N/A"
"RuntimeBroker.exe","25904","N/A"
"SearchApp.exe","23416","N/A"
"ctfmon.exe","18012","N/A"
"RuntimeBroker.exe","22852","N/A"
"SettingSyncHost.exe","25884","N/A"
"YourPhone.exe","16128","N/A"
"TabTip.exe","25328","N/A"
"RuntimeBroker.exe","13080","N/A"
"Wacom_TabletUser.exe","21488","N/A"
"WacomHost.exe","12872","N/A"
"RuntimeBroker.exe","25240","N/A"
"Wacom_Tablet.exe","23212","N/A"
"Wacom_TouchUser.exe","7412","N/A"
"svchost.exe","12200","OneSyncSvc_5891c689,PimIndexMaintenanceSvc_5891c689,UnistoreSvc_5891c689,UserDataSvc_5891c689"
"smartscreen.exe","13120","N/A"
"Spotify.exe","8628","N/A"
"SecurityHealthSystray.exe","3900","N/A"
"Spotify.exe","11424","N/A"
"Spotify.exe","25444","N/A"
"Spotify.exe","21000","N/A"
"Spotify.exe","1840","N/A"
"RtkNGUI64.exe","16496","N/A"
"RAVBg64.exe","19056","N/A"
"RAVBg64.exe","20392","N/A"
"WavesSvc64.exe","23984","N/A"
"OneDrive.exe","23316","N/A"
"WmiApSrv.exe","8888","wmiApSrv"
"googledrivesync.exe","4844","N/A"
"express.exe","13716","N/A"
"audiodg.exe","17180","N/A"
"rundll32.exe","23776","N/A"
"AdobeCollabSync.exe","19512","N/A"
"AdobeCollabSync.exe","17940","N/A"
"Cortana.exe","23920","N/A"
"ONENOTEM.EXE","10716","N/A"
"googledrivesync.exe","2900","N/A"
"RuntimeBroker.exe","18696","N/A"
"svchost.exe","7560","AarSvc_5891c689"
"jusched.exe","13196","N/A"
"SpeechRuntime.exe","10384","N/A"
"TextInputHost.exe","14772","N/A"
"dllhost.exe","10284","N/A"
"cmd.exe","15564","N/A"
"conhost.exe","17960","N/A"
"wsl.exe","15540","N/A"
"svchost.exe","21388","LxssManager"
"vmwp.exe","7276","N/A"
"vmmem","12404","N/A"
"wslhost.exe","18872","N/A"
"conhost.exe","3312","N/A"
"dllhost.exe","15868","N/A"
"wslhost.exe","20548","N/A"
"conhost.exe","15752","N/A"
"SystemSettings.exe","16892","N/A"
"ApplicationFrameHost.exe","14296","N/A"
"IAStorIcon.exe","7504","N/A"
"Calculator.exe","23948","N/A"
"chrome.exe","23568","N/A"
"chrome.exe","11636","N/A"
"chrome.exe","13084","N/A"
"chrome.exe","24164","N/A"
"WinStore.App.exe","2012","N/A"
"chrome.exe","2040","N/A"
"chrome.exe","23668","N/A"
"chrome.exe","11536","N/A"
"chrome.exe","26028","N/A"
"RuntimeBroker.exe","23760","N/A"
"chrome.exe","17988","N/A"
"chrome.exe","3936","N/A"
"AdobeNotificationClient.exe","15184","N/A"
"RuntimeBroker.exe","5168","N/A"
"AcrobatNotificationClient.exe","18848","N/A"
"Code.exe","8064","N/A"
"Code.exe","21172","N/A"
"Code.exe","6836","N/A"
"Code.exe","3912","N/A"
"Code.exe","3396","N/A"
"Code.exe","6212","N/A"
"Code.exe","12828","N/A"
"wsl.exe","23904","N/A"
"conhost.exe","1388","N/A"
"wslhost.exe","26572","N/A"
"conhost.exe","3132","N/A"
"Code.exe","8704","N/A"
"jucheck.exe","10688","N/A"
"ShellExperienceHost.exe","21676","N/A"
"RuntimeBroker.exe","17708","N/A"
"cmd.exe","17344","N/A"
"conhost.exe","16552","N/A"
"svchost.exe","21144","smphost"
"svchost.exe","10448","ClipSVC"
"SystemIdleCheck.exe","14104","N/A"
"cmd.exe","10920","N/A"
"conhost.exe","22036","N/A"
"VSSVC.exe","11912","VSS"
"svchost.exe","24384","swprv"
"svchost.exe","19824","wlidsvc"
"svchost.exe","13372","gpsvc"
"SearchProtocolHost.exe","3620","N/A"
"SearchFilterHost.exe","21296","N/A"
"pcdrmemory2.p5x","5460","N/A"
"tasklist.exe","18336","N/A"
